Role,Section,Feature,Data Scope,Feature Key,Built,Screen,Endpoints,Tested As,Result,Checks,Also readable by,Evidence,Verified against
Super Admin,Dashboard,Campus cards,All institutions / all campuses,super_admin.dashboard.campus_cards,yes,super_admin/PlatformDashboard,GET /api/v1/admin/platform-dashboard GET /api/v1/date-ranges,super_admin@vivencia.test,pass,2,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/admin/platform-dashboard 200; /api/v1/date-ranges 200, 13 rows",http://127.0.0.1:8090 at 2026-08-18 10:36
Super Admin,Dashboard,All campuses summary,All institutions / all campuses,super_admin.dashboard.all_campuses_summary,yes,super_admin/PlatformDashboard,GET /api/v1/admin/platform-dashboard GET /api/v1/date-ranges,super_admin@vivencia.test,pass,2,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/admin/platform-dashboard 200; /api/v1/date-ranges 200, 13 rows",http://127.0.0.1:8090 at 2026-08-18 10:36
Super Admin,Dashboard,Alerts,All institutions / all campuses,super_admin.dashboard.alerts,yes,super_admin/PlatformDashboard,GET /api/v1/admin/platform-dashboard GET /api/v1/date-ranges,super_admin@vivencia.test,pass,2,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/admin/platform-dashboard 200; /api/v1/date-ranges 200, 13 rows",http://127.0.0.1:8090 at 2026-08-18 10:36
Super Admin,Dashboard,Multi-Branch Revenue Analytics,All institutions / all campuses,super_admin.dashboard.multi_branch_revenue_analytics,yes,super_admin/PlatformDashboard,GET /api/v1/admin/platform-dashboard GET /api/v1/date-ranges,super_admin@vivencia.test,pass,2,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/admin/platform-dashboard 200; /api/v1/date-ranges 200, 13 rows",http://127.0.0.1:8090 at 2026-08-18 10:36
Super Admin,Dashboard,Central Admission Funnel KPI,All institutions / all campuses,super_admin.dashboard.central_admission_funnel_kpi,yes,super_admin/PlatformDashboard,GET /api/v1/admin/platform-dashboard GET /api/v1/date-ranges,super_admin@vivencia.test,pass,2,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/admin/platform-dashboard 200; /api/v1/date-ranges 200, 13 rows",http://127.0.0.1:8090 at 2026-08-18 10:36
Super Admin,Dashboard,Global Attendance Heatmap,All institutions / all campuses,super_admin.dashboard.global_attendance_heatmap,yes,super_admin/PlatformDashboard,GET /api/v1/admin/platform-dashboard GET /api/v1/date-ranges,super_admin@vivencia.test,pass,2,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/admin/platform-dashboard 200; /api/v1/date-ranges 200, 13 rows",http://127.0.0.1:8090 at 2026-08-18 10:36
Super Admin,Dashboard,Executive System Alerts,All institutions / all campuses,super_admin.dashboard.executive_system_alerts,yes,super_admin/PlatformDashboard,GET /api/v1/admin/platform-dashboard GET /api/v1/date-ranges,super_admin@vivencia.test,pass,2,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/admin/platform-dashboard 200; /api/v1/date-ranges 200, 13 rows",http://127.0.0.1:8090 at 2026-08-18 10:36
Super Admin,Dashboard,System health,Assigned institution/campus,super_admin.dashboard.system_health,yes,shared/Jobs,GET /api/v1/academics/sections POST /api/v1/jobs GET /api/v1/jobs/:param GET /api/v1/jobs/queues,super_admin@vivencia.test,pass,3,admissions faculty finance hod hr institution_admin operations,"/api/v1/academics/sections 200, 28 rows; /api/v1/jobs/:param no demo record to address; /api/v1/jobs/queues 200",http://127.0.0.1:8090 at 2026-08-18 10:36
Super Admin,Institution Setup,Institutions & campuses,All institutions / all campuses,super_admin.institution_setup.institutions_campuses,yes,setup/Wizard,GET /api/v1/academics/classes GET /api/v1/academics/sections GET /api/v1/academics/subjects GET /api/v1/academics/years GET /api/v1/admin/institutions GET /api/v1/session POST /api/v1/setup/academic-years POST /api/v1/setup/assign-teacher GET/POST /api/v1/setup/campuses PUT /api/v1/setup/campuses/:param GET/PUT /api/v1/setup/class-subjects POST /api/v1/setup/class-teacher POST /api/v1/setup/classes POST /api/v1/setup/employees POST /api/v1/setup/exams GET/POST /api/v1/setup/fee-heads POST /api/v1/setup/fee-structures POST /api/v1/setup/grading-scales GET/PUT /api/v1/setup/institution GET /api/v1/setup/institution/options PUT /api/v1/setup/periods POST /api/v1/setup/sections GET /api/v1/setup/status POST /api/v1/setup/subjects GET /api/v1/timetable/periods GET /api/v1/timetable/teachers,super_admin@vivencia.test,pass,15,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/academics/classes 200, 14 rows; /api/v1/academics/sections 200, 28 rows; /api/v1/academics/subjects 200, 13 rows; /api/v1/academics/years 200, 2 rows; /api/v1/admin/institutions 200, 5 rows; /api/v1/session 200; /api/v1/setup/campuses 200, 5 rows; /api/v1/setup/class-subjects 200, 100 rows; /api/v1/setup/fee-heads 200, 8 rows; /api/v1/setup/institution 200; /api/v1/setup/institution/options 200; /api/v1/setup/status 200; /api/v1/timetable/periods 200, 15 rows; /api/v1/timetable/teachers 200, 11 rows | [ok] setup checklist reports the school operable: 15/15 steps, ready=True",http://127.0.0.1:8090 at 2026-08-18 10:36
Super Admin,Institution Setup,Academic year defaults,All institutions / all campuses,super_admin.institution_setup.academic_year_defaults,yes,setup/Wizard,GET /api/v1/academics/classes GET /api/v1/academics/sections GET /api/v1/academics/subjects GET /api/v1/academics/years GET /api/v1/admin/institutions GET /api/v1/session POST /api/v1/setup/academic-years POST /api/v1/setup/assign-teacher GET/POST /api/v1/setup/campuses PUT /api/v1/setup/campuses/:param GET/PUT /api/v1/setup/class-subjects POST /api/v1/setup/class-teacher POST /api/v1/setup/classes POST /api/v1/setup/employees POST /api/v1/setup/exams GET/POST /api/v1/setup/fee-heads POST /api/v1/setup/fee-structures POST /api/v1/setup/grading-scales GET/PUT /api/v1/setup/institution GET /api/v1/setup/institution/options PUT /api/v1/setup/periods POST /api/v1/setup/sections GET /api/v1/setup/status POST /api/v1/setup/subjects GET /api/v1/timetable/periods GET /api/v1/timetable/teachers,super_admin@vivencia.test,pass,14,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/academics/classes 200, 14 rows; /api/v1/academics/sections 200, 28 rows; /api/v1/academics/subjects 200, 13 rows; /api/v1/academics/years 200, 2 rows; /api/v1/admin/institutions 200, 5 rows; /api/v1/session 200; /api/v1/setup/campuses 200, 5 rows; /api/v1/setup/class-subjects 200, 100 rows; /api/v1/setup/fee-heads 200, 8 rows; /api/v1/setup/institution 200; /api/v1/setup/institution/options 200; /api/v1/setup/status 200; /api/v1/timetable/periods 200, 15 rows; /api/v1/timetable/teachers 200, 11 rows",http://127.0.0.1:8090 at 2026-08-18 10:36
