Role,Workspace,Section,Feature,What User Sees & Does,Data Scope,Priority,Tier
Super Admin,Dashboard,Dashboard,Campus cards,"Show one card per campus instead of generic KPI boxes. Each campus card shows Campus Name, Total Students, Fee Collected, Outstanding Fee, with a View Campus action.",All institutions / all campuses,Must-Have,core
Super Admin,Dashboard,Dashboard,All campuses summary,"A small overall strip above/below campus cards: total campuses, total students, total fee collected, total outstanding. Keep this secondary to campus cards.",All institutions / all campuses,Must-Have,core
Super Admin,Dashboard,Dashboard,Alerts,"Only system-level issues needing action: failed integrations, payment reconciliation failures, inactive campus setup, security alerts.",All institutions / all campuses,Must-Have,core
Super Admin,Dashboard,Dashboard,Multi-Branch Revenue Analytics,"View aggregate fee collection, outstanding balances, and comparative revenue across branches.",All institutions / all campuses,Must-Have,core
Super Admin,Dashboard,Dashboard,Central Admission Funnel KPI,"Track total inquiries, applications, admissions finalized, and conversion rate across all campuses.",All institutions / all campuses,Must-Have,core
Super Admin,Dashboard,Dashboard,Global Attendance Heatmap,Monitor real-time student and staff attendance percentages across all campus locations.,All institutions / all campuses,Must-Have,core
Super Admin,Dashboard,Dashboard,Executive System Alerts,"Display system-critical alerts including integration downtime, security breaches, and pending audits.",All institutions / all campuses,Must-Have,core
Super Admin,Dashboard,Dashboard,System health,"Background jobs, queue depth, failed integrations and recent errors.",Assigned institution/campus,Must-Have,core
Super Admin,Institution Setup,Institution Setup,Institutions & campuses,"Create/edit institution and campuses; address, timezone, academic model, contact details and status.",All institutions / all campuses,Should-Have,core
Super Admin,Institution Setup,Institution Setup,Academic year defaults,Set active academic year/term defaults per campus; actual academic structure remains with institution admins.,All institutions / all campuses,Should-Have,core
Super Admin,Institution Setup,Institution Setup,Branding,"Logo, institution name, colors and portal identity per tenant/campus.",All institutions / all campuses,Must-Have,core
Super Admin,Institution Setup,Institution Setup,School settings,"Institution profile, campuses, academic year and numbering.",Assigned institution/campus,Must-Have,core
Super Admin,Access & Security,Access & Security,Users,"Create, activate, suspend and search users.",All users,Must-Have,core
Super Admin,Access & Security,Access & Security,Roles & permissions,"Assign roles and define data scope such as institution, campus, department, class or self.",All users,Must-Have,core
Super Admin,Access & Security,Access & Security,Login & session audit,"View login history, active sessions and suspicious access.",All users,Must-Have,core
Super Admin,Access & Security,Access & Security,SSO / MFA,Configure single sign-on and multi-factor authentication when required.,All users,Must-Have,core
Super Admin,Access & Security,Access & Security,User directory,"Create, search, suspend and reset accounts across the school.",Assigned institution/campus,Must-Have,core
Super Admin,Platform Configuration,Platform Configuration,Module configuration,Enable/disable modules by institution so users only see what their institution uses.,All institutions / all campuses,Should-Have,core
Super Admin,Platform Configuration,Platform Configuration,Integrations,"Configure payment gateway, email/SMS/WhatsApp, biometric devices, Google/Microsoft and other connectors.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Configuration,Platform Configuration,Numbering & templates,"Configure receipt, admission, student ID and certificate numbering/templates.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Configuration,Platform Configuration,Audit log,Search critical configuration and data-change history.,All institutions / all campuses,Must-Have,core
Super Admin,Platform Configuration,Platform Configuration,Data operations,"Controlled import/export, archival, retention and backup/restore administration.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Configuration,Platform Configuration,Import & export,"Bulk import of students, staff and opening balances, with validation reports.",Assigned institution/campus,Must-Have,core
Super Admin,Platform Setup,Campuses & Academic Year,Franchise Management,"Centralized administrative oversight, asset sharing, and brand compliance for franchise chains.",All institutions / all campuses,Nice-to-Have,core
Super Admin,Platform Setup,Campuses & Academic Year,White-Label Branding,"Configure custom logos, domain names, color themes, login portal banners, and email header templates.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Campuses & Academic Year,Academic Calendar Model,Configure the June-April school year separately from the April-March financial year used for receipts.,All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Messaging,SMS Gateway Integration,"Configure gateway API credentials, sender IDs, DLTI templates, and SMS delivery logs.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Messaging,WhatsApp API Integration,"Connect WhatsApp Business API, manage template approvals, automated triggers, and delivery logs.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Messaging,Email Server (SMTP) Integration,"Configure SMTP credentials, send grid settings, DKIM/SPF verification, and email dispatch logs.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Messaging,Automated Trigger Rules,"Set trigger conditions for instant automated notifications on absence, fee due, or bus delay.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Payments & Devices,Payment Gateway Connectors,"Manage credentials for Razorpay, Paytm, CCAvenue, BillDesk, Easebuzz, and CCAvenue.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Payments & Devices,Biometric Device Integration,"Connect biometric fingerprint, facial recognition, and RFID hardware machines via IP/Webhooks.",All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Payments & Devices,GPS Hardware Integration,"Configure bus GPS tracker hardware protocols, IMEI mapping, and refresh intervals.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Payments & Devices,Virtual Classroom Integration,"Connect Zoom, Google Meet, and Microsoft Teams tenant accounts for seamless live streaming.",All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Payments & Devices,Tally ERP / Prime Connector,"Configure ledger XML exports, cost-center mapping, and automated batch voucher sync.",All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Payments & Devices,Meritto / LeadSquared Sync,"Map lead sources, counselor assignments, and multi-touch lead status sync with external CRMs.",All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Statutory & Boards,SQAA Framework Management,Configure School Quality Assessment and Assurance standards and self-assessment checklists.,All institutions / all campuses,Should-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,UDISE+ Data Sync,"Map school, student, teacher and facility fields to the UDISE+ return format and validate data integrity before submission.",All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,APAAR ID Provisioning,Generate and reconcile APAAR (One Nation One Student) IDs against Aadhaar and the UDISE+ register.,All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,DigiLocker Issuer Integration,"Register as a DigiLocker issuer and push transfer certificates, report cards and mark sheets as verifiable documents.",All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,Board Affiliation & Disclosure,"Maintain CBSE/ICSE/State affiliation numbers, mandatory public disclosure documents and renewal dates.",All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Statutory & Boards,State Board Configuration,"Select the state education board (BSE Telangana SSC, TSBIE Intermediate, CBSE, ICSE) and its grading and assessment rules.",All institutions / all campuses,Should-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,School Management Type,"Classify each campus as Government, Aided, Private Unaided, Model School, Gurukul or KGBV for state reporting.",All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Statutory & Boards,District & Mandal Master,"Maintain state, district, mandal and village/ward codes used by every government return.",All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Statutory & Boards,Child Info Portal Sync,Map school and student records to the Telangana Child Info portal register and reconcile differences.,All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Operations,Data Backup & Restore,Schedule automated cloud database backups and manage point-in-time recovery archives.,All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Operations,System Health & Integration Alerts,"Monitor failed Webhooks, payment gateway time-outs, SMS delivery failures, and API errors.",All institutions / all campuses,Must-Have,core
Super Admin,AI & Automation,AI & Automation,Predictive Dropout Risk Engine,"AI models analyzing attendance, grades, and fee delays to predict student churn risk.",All institutions / all campuses,Nice-to-Have,core
